,Unnamed: 0,brand,guaranteed_authentic_brand,model_variant,core_model,price,negotiable_price,bezel_material,bezel_plated,case_material,case_plated,dial
149,250,tudor,False,Standard,1926,14000.0,False,steel,False,steel,False,white
153,258,tudor,False,Standard,1926,2188.0,True,steel,False,steel,False,white
155,263,tudor,False,Standard,Black Bay 41,4699.0,False,steel,False,steel,False,black
156,264,tudor,False,Standard,Pelagos,3800.0,False,titanium,False,titanium,False,blue
157,265,tudor,False,Standard,Black Bay Chrono,4290.0,True,aluminum,False,gold/steel,False,black
158,266,tudor,False,Standard,Unknown/Other,4400.0,False,steel,False,steel,False,silver
159,269,tudor,False,Standard,Black Bay Fifty-Eight,3650.0,False,steel,False,steel,False,black
163,274,tudor,False,Standard,Glamour Double Date,2350.0,True,steel,False,steel,False,silver
164,275,tudor,False,Standard,Unknown/Other,4500.0,False,steel,False,steel,False,black
165,276,tudor,False,Standard,Black Bay Fifty-Eight,3490.0,False,steel,False,steel,False,black
169,280,tudor,False,Standard,Unknown/Other,5150.0,False,steel,False,steel,False,white
170,281,tudor,False,Standard,Pelagos,3299.0,True,titanium,False,carbon,False,blue
171,282,tudor,False,Standard,Pelagos,4130.0,False,titanium,False,carbon,False,blue
175,289,tudor,False,Standard,Black Bay Fifty-Eight,3900.0,False,bronze,False,bronze,False,brown
176,290,tudor,False,Standard,Black Bay Chrono,3800.0,False,steel,False,steel,False,black
177,292,tudor,False,Standard,Heritage Chrono,3450.0,True,aluminum,False,steel,False,grey
178,293,tudor,False,Standard,Ranger,3299.0,False,steel,False,steel,False,black
179,294,tudor,False,Standard,Black Bay 54,4050.0,False,steel,False,steel,False,black
180,295,tudor,False,Standard,Unknown/Other,4500.0,False,steel,False,steel,False,black
182,298,tudor,False,Standard,Black Bay Fifty-Eight,3830.0,False,silver,False,silver,False,grey
183,299,tudor,False,Standard,Black Bay Chrono,5100.0,False,aluminum,False,steel,False,blue
184,300,tudor,False,Standard,Black Bay GMT,4695.0,True,yellow gold,False,gold/steel,False,black
185,301,tudor,False,Standard,Fastrider Chrono,2850.0,True,steel,False,steel,False,black
186,302,tudor,False,Standard,Black Bay Chrono,11825.0,False,carbon,False,carbon,False,white
187,303,tudor,False,Standard,Unknown/Other,1995.0,True,gold,True,steel,False,white
189,305,tudor,False,Standard,Black Bay Chrono,3800.0,True,steel,False,steel,False,black
190,306,tudor,False,Standard,Pelagos,4099.0,False,titanium,False,titanium,False,black
191,307,tudor,False,Standard,Pelagos,3850.0,False,ceramic,False,titanium,False,black
192,308,tudor,False,Standard,Pelagos,4395.0,False,titanium,False,titanium,False,black
193,310,tudor,False,Standard,Grantour Chrono Fly-Back,3390.0,True,steel,False,steel,False,white
195,313,tudor,False,Standard,Black Bay Chrono,3600.0,False,steel,False,steel,False,black
