,negotiable_price,price,guaranteed_authentic_brand,brand,case_plated,case_material,bezel_plated,bezel_material,bracelet_plated,bracelet_material,clasp_plated,clasp_material,dial,core_model,model_variant,year_of_production,is_year_of_production_estimate,age_in_years_2026,original_box,original_papers,movement,clasp,number_of_jewels
44,True,2350,False,tudor,False,steel,False,,False,steel,False,,silver,Black Bay 36,Standard,2022,True,4,0.0,1.0,automatic,,
45,True,3200,False,tudor,False,steel,False,,False,steel,False,,silver,Prince Date Day,Standard,2020,True,6,1.0,1.0,automatic,,
46,True,3500,False,tudor,False,steel,False,steel,False,steel,False,steel,grey,Black Bay 36,Standard,2024,False,2,1.0,1.0,,fold clasp,
47,True,2890,False,tudor,False,steel,False,aluminum,False,steel,False,steel,black,Unknown/Other,Standard,2015,True,11,1.0,1.0,automatic,fold clasp,25
48,True,3250,False,tudor,False,steel,False,steel,False,steel,False,steel,grey,Black Bay 41,Standard,2024,False,2,1.0,1.0,automatic,fold clasp,
49,True,3347,False,tudor,False,steel,False,,False,steel,False,,black,Unknown/Other,Standard,2022,False,4,1.0,1.0,automatic,,
50,False,5671,False,tudor,False,steel,False,steel,False,steel,False,steel,blue,Black Bay 54,Standard,2026,False,0,1.0,1.0,automatic,fold clasp,27
51,True,4500,False,tudor,False,titanium,False,,False,titanium,False,,black,Pelagos,Standard,2023,False,3,1.0,1.0,automatic,,
52,True,4350,False,tudor,False,steel,False,,False,steel,False,,red,Unknown/Other,Standard,2025,False,1,1.0,1.0,automatic,,
53,True,4800,False,tudor,False,steel,False,,False,steel,False,,black,Submariner,Standard,1993,False,33,0.0,1.0,automatic,,
54,True,3995,False,tudor,False,steel,False,steel,False,steel,False,steel,black,Black Bay Fifty-Eight,Standard,2023,False,3,1.0,1.0,automatic,fold clasp,25
55,False,9699,False,tudor,False,steel,False,steel,False,steel,False,steel,pink,Black Bay Chrono,Standard,2026,False,0,1.0,1.0,automatic,fold clasp,41
56,True,2290,False,tudor,False,steel,False,aluminum,False,steel,False,steel,silver,Grantour Date,Standard,2014,False,12,1.0,1.0,automatic,fold clasp,
57,True,3950,False,tudor,False,steel,False,steel,False,steel,False,steel,blue,Black Bay Steel,Standard,2025,False,1,1.0,1.0,automatic,fold clasp,25
58,True,5850,False,tudor,False,titanium,False,,False,textile,False,titanium,black,Pelagos,Standard,2025,True,1,1.0,1.0,automatic,buckle,
59,True,3300,False,tudor,False,steel,False,,False,steel,False,,blue,Black Bay 36,Standard,2025,False,1,1.0,1.0,automatic,,
60,True,4500,False,tudor,False,steel,False,aluminum,False,steel,False,steel,blue,Black Bay Fifty-Eight,Standard,2021,True,5,1.0,1.0,automatic,fold clasp,27
61,False,2250,False,tudor,False,steel,False,steel,False,steel,False,steel,blue,Black Bay 32,Standard,2021,False,5,1.0,1.0,automatic,fold clasp,
62,False,1795,False,tudor,False,steel,False,steel,False,steel,False,,white,1926,Standard,,False,,0.0,1.0,automatic,fold clasp,
63,False,4095,False,tudor,False,steel,False,,False,,False,,black,Black Bay Fifty-Eight,Standard,2025,False,1,1.0,1.0,,,
64,False,4500,False,tudor,False,steel,False,steel,False,steel,False,steel,black,Black Bay GMT,Standard,,False,,1.0,1.0,automatic,fold clasp,27
65,True,4200,False,tudor,False,steel,False,steel,False,steel,False,,black,Submariner,Standard,,False,,1.0,1.0,automatic,,
66,False,3300,False,tudor,False,steel,False,aluminum,False,steel,False,steel,blue,Black Bay Fifty-Eight,Standard,2023,True,3,1.0,1.0,automatic,fold clasp,27
67,True,3099,False,tudor,False,steel,False,,False,steel,False,,black,Black Bay Pro,Standard,2022,False,4,1.0,1.0,automatic,,26
68,True,5000,False,tudor,False,steel,False,steel,False,steel,False,steel,black,Black Bay GMT,Standard,2024,True,2,1.0,1.0,automatic,fold clasp,27
69,True,3395,False,tudor,False,steel,False,,False,steel,False,,black,Black Bay GMT,Standard,2018,True,8,1.0,1.0,automatic,,
70,True,4950,False,tudor,False,steel,False,,False,steel,False,,grey,Unknown/Other,Standard,,False,,1.0,1.0,automatic,,
71,True,2854,False,tudor,False,steel,False,,False,steel,False,,silver,Unknown/Other,Standard,,False,,0.0,1.0,automatic,,
72,False,4700,False,tudor,False,steel,False,steel,False,steel,False,steel,white,Black Bay Chrono,Standard,2024,False,2,1.0,1.0,automatic,fold clasp,41
73,True,7995,False,tudor,False,steel,False,steel,False,steel,False,steel,blue,Submariner,Standard,,False,,0.0,1.0,automatic,fold clasp,25
74,True,4499,False,tudor,False,steel,False,steel,False,steel,False,steel,black,Unknown/Other,Standard,2024,True,2,1.0,1.0,automatic,fold clasp,25
75,True,3695,False,tudor,False,steel,False,,False,steel,False,,blue,Black Bay Steel,Standard,2025,False,1,1.0,1.0,automatic,,
76,False,5355,False,tudor,False,steel,False,steel,False,steel,False,steel,blue,Black Bay 54,Standard,2025,False,1,1.0,1.0,automatic,fold clasp,27
77,False,2900,False,tudor,False,steel,False,steel,False,steel,False,steel,silver,Black Bay 41,Standard,2021,True,5,1.0,1.0,automatic,fold clasp,
78,True,1275,False,tudor,False,steel,False,,False,steel,False,,champagne,Prince Oysterdate,Standard,1972,True,54,0.0,1.0,automatic,,
79,True,4100,False,tudor,False,steel,False,steel,False,steel,False,steel,black,Black Bay Fifty-Eight,Standard,2026,False,0,1.0,1.0,automatic,fold clasp,25
80,True,3350,False,tudor,False,steel,False,steel,False,steel,False,steel,silver,Heritage Advisor,Standard,2017,False,9,1.0,1.0,automatic,fold clasp,
81,True,4100,False,tudor,False,titanium,False,,False,titanium,False,,black,Pelagos,Standard,2022,False,4,1.0,1.0,automatic,,
82,False,3295,False,tudor,False,carbon,False,titanium,False,textile,False,titanium,blue,Pelagos,Standard,2025,False,1,1.0,1.0,automatic,buckle,25
83,False,1699,False,tudor,False,steel,False,,False,,False,,blue,Classic,Standard,,False,,0.0,1.0,automatic,,
84,False,3815,False,tudor,False,steel,False,,False,steel,False,,silver,Royal,Standard,2025,False,1,1.0,1.0,automatic,fold clasp,
85,True,2490,False,tudor,False,steel,False,,False,leather,False,,black,Unknown/Other,Standard,2022,True,4,1.0,1.0,automatic,,
86,False,5975,False,tudor,False,titanium,False,titanium,False,titanium,False,,black,Pelagos Ultra,Standard,2026,False,0,1.0,1.0,automatic,fold clasp,
87,False,4449,False,tudor,False,steel,False,steel,False,steel,False,steel,white,Black Bay Pro,Standard,2025,False,1,1.0,1.0,automatic,fold clasp,25
